,market,funding_total_usd,region,city,funding_rounds,Founding_year,first_funding_year,last_funding_year,first_funding_gap,last_funding_gap,first_last_funding_gap,success
0,226,1750000.0,104,449,1,2012.0,2012.0,2012,0.0,0.0,0.0,1
5,309,7000000.0,51,469,1,2011.0,2013.0,2013,2.0,2.0,0.0,0
20,79,2535000.0,131,569,2,2010.0,2010.0,2011,0.0,1.0,1.0,1
27,8,1250000.0,131,569,2,2011.0,2011.0,2011,0.0,0.0,0.0,1
30,79,50000.0,32,145,1,2009.0,2009.0,2009,0.0,0.0,0.0,0
50,102,0.0,79,679,1,2012.0,2012.0,2012,0.0,0.0,0.0,1
62,309,14000000.0,17,48,1,1990.0,2002.0,2002,12.0,12.0,0.0,1
69,185,0.0,140,319,1,2006.0,2008.0,2008,2.0,2.0,0.0,0
74,102,50000.0,109,578,1,2008.0,2008.0,2008,0.0,0.0,0.0,0
89,128,10000000.0,91,405,1,2007.0,2014.0,2014,7.0,7.0,0.0,0
117,126,3452941.0,79,362,3,0.0,2010.0,2011,0.0,0.0,1.0,0
123,309,50000.0,127,540,1,2010.0,2011.0,2011,1.0,1.0,0.0,0
131,102,118000.0,38,76,1,2012.0,2012.0,2012,0.0,0.0,0.0,0
151,309,85000000.0,26,119,1,1998.0,2005.0,2005,7.0,7.0,0.0,1
198,107,500000.0,17,683,2,2010.0,2010.0,2011,0.0,1.0,1.0,0
205,137,503000.0,110,360,2,2011.0,2011.0,2013,0.0,2.0,2.0,0
236,363,65000000.0,131,580,3,2004.0,2005.0,2008,1.0,4.0,3.0,1
256,47,15000000.0,140,593,3,1999.0,2007.0,2010,8.0,11.0,3.0,1
270,286,38064570.0,131,570,4,2004.0,2006.0,2012,2.0,8.0,6.0,1
282,309,0.0,131,570,1,2006.0,2007.0,2007,1.0,1.0,0.0,0
288,49,9416354.0,131,624,6,2006.0,2006.0,2010,0.0,4.0,4.0,1
310,102,12900000.0,131,569,6,2010.0,2009.0,2013,-1.0,3.0,4.0,1
342,346,12800000.0,104,449,3,2007.0,2007.0,2009,0.0,2.0,2.0,1
351,172,17129760.0,140,593,4,2009.0,2009.0,2010,0.0,1.0,1.0,1
366,309,6700000.0,123,429,2,2004.0,2005.0,2007,1.0,3.0,2.0,1
370,102,6528902.0,11,38,3,2006.0,2009.0,2012,3.0,6.0,3.0,0
407,354,12250000.0,17,701,2,0.0,2008.0,2010,0.0,0.0,2.0,0
415,102,15590000.0,93,416,3,2008.0,2009.0,2011,1.0,3.0,2.0,1
419,326,30608728.0,131,570,1,1987.0,2011.0,2011,24.0,24.0,0.0,1
465,300,10312103.0,131,573,2,2009.0,2010.0,2011,1.0,2.0,1.0,0
484,29,3000000.0,137,567,1,0.0,2009.0,2009,0.0,0.0,0.0,1
504,29,500000.0,66,296,1,2008.0,2011.0,2011,3.0,3.0,0.0,0
505,284,6000000.0,131,569,2,2007.0,2007.0,2008,0.0,1.0,1.0,1
520,8,500000.0,140,654,1,2000.0,2010.0,2010,10.0,10.0,0.0,1
616,346,0.0,131,569,1,2008.0,2008.0,2008,0.0,0.0,0.0,1
639,148,200000000.0,30,237,1,0.0,2013.0,2013,0.0,0.0,0.0,0
644,146,150000.0,59,267,1,0.0,2012.0,2012,0.0,0.0,0.0,0
650,126,457282.0,17,99,7,2008.0,2008.0,2009,0.0,1.0,1.0,0
655,309,225000.0,140,319,1,2013.0,2014.0,2014,1.0,1.0,0.0,0
664,309,1500000.0,6,299,1,1997.0,2009.0,2009,12.0,12.0,0.0,1
665,39,25305000.0,131,580,4,2002.0,2005.0,2010,3.0,8.0,5.0,1
668,286,7131124.0,30,303,3,2007.0,2008.0,2010,1.0,3.0,2.0,1
670,146,13793098.0,131,432,3,2002.0,2010.0,2012,8.0,10.0,2.0,1
677,291,1999998.0,17,386,1,1999.0,2009.0,2009,10.0,10.0,0.0,1
678,29,15581502.0,36,167,2,0.0,2011.0,2012,0.0,0.0,1.0,0
681,146,21376001.0,137,567,6,2004.0,2009.0,2012,5.0,8.0,3.0,1
700,268,0.0,131,569,1,2013.0,2014.0,2014,1.0,1.0,0.0,0
702,63,4000000.0,79,203,1,0.0,2006.0,2006,0.0,0.0,0.0,1
715,29,110640466.0,137,567,9,1996.0,2003.0,2013,7.0,17.0,10.0,1
721,309,0.0,38,354,1,0.0,2002.0,2002,0.0,0.0,0.0,1
731,286,8198838.0,38,177,4,2002.0,2008.0,2014,6.0,12.0,6.0,1
743,286,2090000.0,131,569,1,0.0,2009.0,2009,0.0,0.0,0.0,0
753,115,5280000.0,131,573,1,1999.0,2005.0,2005,6.0,6.0,0.0,1
773,29,9599860.0,163,685,2,0.0,2011.0,2014,0.0,0.0,3.0,0
779,326,22247779.0,17,48,1,0.0,2009.0,2009,0.0,0.0,0.0,1
782,9,7300000.0,131,569,1,2013.0,2013.0,2013,0.0,0.0,0.0,1
786,309,20000000.0,17,366,1,2002.0,2006.0,2006,4.0,4.0,0.0,1
792,309,7974296.0,11,38,1,1998.0,2013.0,2013,15.0,15.0,0.0,1
796,79,40000.0,104,449,1,2012.0,2013.0,2013,1.0,1.0,0.0,1
816,47,9800000.0,11,38,3,0.0,2008.0,2010,0.0,0.0,2.0,1
825,29,15600000.0,137,567,2,0.0,2005.0,2008,0.0,0.0,3.0,1
832,210,58200000.0,140,52,5,2000.0,2000.0,2007,0.0,7.0,7.0,1
870,309,214208700.0,36,167,10,1999.0,1999.0,2009,0.0,10.0,10.0,1
873,115,16400000.0,79,641,4,2008.0,2009.0,2012,1.0,4.0,3.0,0
875,301,0.0,140,593,1,1983.0,1990.0,1990,7.0,7.0,0.0,1
888,115,5422959.0,131,242,1,1985.0,2009.0,2009,24.0,24.0,0.0,1
898,29,36700005.0,17,386,4,0.0,2009.0,2013,0.0,0.0,4.0,1
932,210,17600000.0,131,569,3,2005.0,2005.0,2008,0.0,3.0,3.0,1
933,302,50000.0,61,288,1,2010.0,2010.0,2010,0.0,0.0,0.0,0
950,327,48500000.0,131,573,5,2006.0,2007.0,2011,1.0,5.0,4.0,1
952,1,10000000.0,79,489,1,2001.0,2005.0,2005,4.0,4.0,0.0,1
963,47,3750000.0,72,341,1,0.0,2008.0,2008,0.0,0.0,0.0,0
967,29,10350000.0,140,593,2,2009.0,2010.0,2011,1.0,2.0,1.0,0
971,115,24845955.0,28,127,6,2007.0,2009.0,2013,2.0,6.0,4.0,1
972,264,6500000.0,36,112,2,0.0,2009.0,2011,0.0,0.0,2.0,1
975,309,2400000.0,30,349,1,1998.0,2014.0,2014,16.0,16.0,0.0,1
985,266,40400000.0,131,569,4,2003.0,2004.0,2012,1.0,9.0,8.0,1
986,1,100000.0,123,522,1,2012.0,2012.0,2012,0.0,0.0,0.0,0
993,1,119191000.0,131,233,7,2004.0,2005.0,2011,1.0,7.0,6.0,1
996,164,0.0,17,386,1,0.0,2014.0,2014,0.0,0.0,0.0,1
997,117,114000000.0,79,583,3,2005.0,2007.0,2011,2.0,6.0,4.0,1
1022,63,5000000.0,36,300,1,1996.0,2007.0,2007,11.0,11.0,0.0,1
1025,283,3100000.0,138,111,1,2003.0,2006.0,2006,3.0,3.0,0.0,1
1035,115,1015000.0,131,573,2,2011.0,2012.0,2012,1.0,1.0,0.0,1
1036,289,5800000.0,137,567,1,0.0,2014.0,2014,0.0,0.0,0.0,0
1041,1,2000000.0,131,101,1,2010.0,2011.0,2011,1.0,1.0,0.0,0
1047,148,2500190.0,116,231,1,0.0,2011.0,2011,0.0,0.0,0.0,0
1052,1,5300000.0,131,486,2,2008.0,2008.0,2009,0.0,1.0,1.0,0
1053,1,470000.0,131,569,2,2010.0,2010.0,2011,0.0,1.0,1.0,1
1055,148,300000.0,9,490,1,2011.0,2012.0,2012,1.0,1.0,0.0,0
